district,total_voter_turnout,total_registered_voters,Turnout,Election,Year
1,2303,6456,35.7,General Municipal,2021
2,1868,5267,35.5,General Municipal,2021
3,2128,5466,38.9,General Municipal,2021
4,1489,4749,31.4,General Municipal,2021
5,1249,4053,30.8,General Municipal,2021
6,1371,4708,29.1,General Municipal,2021
7,883,3656,24.2,General Municipal,2021
8,681,3199,21.3,General Municipal,2021
9,287,2343,12.2,General Municipal,2021
