precinct,total_voter_turnout,total_registered_voters,turnout,election,year
1,625,2968,21.1,Preliminary,2021
2,705,3437,20.5,Preliminary,2021
3,425,2520,16.9,Preliminary,2021
4,627,2826,22.2,Preliminary,2021
5,553,2724,20.3,Preliminary,2021
6,601,2721,22.1,Preliminary,2021
7,497,2588,19.2,Preliminary,2021
8,452,2561,17.6,Preliminary,2021
9,244,2016,12.1,Preliminary,2021
10,174,1703,10.2,Preliminary,2021
11,631,2953,21.4,Preliminary,2021
12,202,1467,13.8,Preliminary,2021
13,387,2013,19.2,Preliminary,2021
14,146,1613,9.1,Preliminary,2021
15,201,1619,12.4,Preliminary,2021
16,64,1041,6.1,Preliminary,2021
17,47,1262,3.7,Preliminary,2021
18,146,1588,9.2,Preliminary,2021
Total,6727,39620,17,Preliminary,2021
