Precinct,Total Voter Turnout,Total Registered Voters,Turnout,Election,Year
1,1360,2953,0.461,State Primary,2020
2,1574,3480,0.452,State Primary,2020
3,1106,2562,0.432,State Primary,2020
4,1368,2838,0.482,State Primary,2020
5,1246,2811,0.443,State Primary,2020
6,1258,2779,0.453,State Primary,2020
7,1212,2657,0.456,State Primary,2020
8,1112,2628,0.423,State Primary,2020
9,732,2076,0.353,State Primary,2020
10,588,1792,0.328,State Primary,2020
11,1398,2960,0.472,State Primary,2020
12,547,1529,0.358,State Primary,2020
13,720,2011,0.358,State Primary,2020
14,471,1673,0.282,State Primary,2020
15,554,1689,0.328,State Primary,2020
16,258,1076,0.240,State Primary,2020
17,199,1349,0.148,State Primary,2020
18,439,1642,0.267,State Primary,2020
Total,16142,40505,0.399,State Primary,2020
