precinct,total_voter_turnout,total_registered_voters,turnout,election,year
1,1097,2994,36.6,General,2021
2,1206,3462,34.8,General,2021
3,806,2538,31.8,General,2021
4,1195,2862,41.8,General,2021
5,1062,2729,38.9,General,2021
6,1005,2723,36.9,General,2021
7,933,2604,35.8,General,2021
8,850,2578,33,General,2021
9,484,2026,23.9,General,2021
10,309,1735,17.8,General,2021
11,1062,2973,35.7,General,2021
12,399,1475,27.1,General,2021
13,601,2025,29.7,General,2021
14,282,1631,17.3,General,2021
15,390,1631,23.9,General,2021
16,165,1062,15.5,General,2021
17,122,1281,9.5,General,2021
18,291,1568,18.6,General,2021
Total,12259,39897,30.7,General,2021
