district,total_voter_turnout,total_registered_voters,Turnout,Election,Year
1,1330,6405,20.8,Preliminary,2021
2,978,5244,18.6,Preliminary,2021
3,1124,5414,20.8,Preliminary,2021
4,845,4737,17.8,Preliminary,2021
5,654,4028,16.2,Preliminary,2021
6,805,4656,17.3,Preliminary,2021
7,533,3626,14.7,Preliminary,2021
8,347,3207,10.8,Preliminary,2021
9,111,2303,4.8,Preliminary,2021
