district,total_voter_turnout,total_registered_voters,Turnout,Election,Year
1,1966,6116,32.1,Preliminary,2017
2,1541,5250,29.4,Preliminary,2017
3,1766,5319,33.2,Preliminary,2017
4,1371,4759,28.8,Preliminary,2017
5,1193,4128,28.9,Preliminary,2017
6,1308,4759,27.5,Preliminary,2017
7,810,3720,21.8,Preliminary,2017
8,755,3424,22.1,Preliminary,2017
9,296,2521,11.7,Preliminary,2017
