precinct,total_voter_turnout,total_registered_voters,turnout,election,year
1,,,,Special,2021
2,,,,Special,2021
3,,,,Special,2021
4,744,2887,25.8,Special,2021
5,,,,Special,2021
6,,,,Special,2021
7,509,2628,19.4,Special,2021
8,,,,Special,2021
9,,,,Special,2021
10,,,,Special,2021
11,,,,Special,2021
12,,,,Special,2021
13,,,,Special,2021
14,,,,Special,2021
15,,,,Special,2021
16,,,,Special,2021
17,,,,Special,2021
18,,,,Special,2021
Total,1253,5515,22.7,Special,2021
